Derives_from,Accession,Name,Arm,Chromosome,Strand,Start,End
MI0019143,MIMAT0022288,hsa-miR-5586-3p,3p,chr14,-,59646962,59646983
MI0030983,MIMAT0039310,hsa-miR-9718,3p,chr14,+,60648681,60648700
MI0006411,MIMAT0005928,hsa-miR-548h-5p,5p,chr14,-,64095084,64095105
MI0025525,MIMAT0030430,hsa-miR-7855-5p,5p,chr14,-,64785663,64785684
MI0017339,MIMAT0019806,hsa-miR-4706,5p,chr14,+,65044697,65044721
MI0017341,MIMAT0019809,hsa-miR-4708-5p,5p,chr14,-,65335155,65335175
MI0017341,MIMAT0019810,hsa-miR-4708-3p,3p,chr14,-,65335123,65335144
MI0003639,MIMAT0003294,hsa-miR-625-5p,5p,chr14,+,65471116,65471136
MI0003639,MIMAT0004808,hsa-miR-625-3p,3p,chr14,+,65471153,65471174
MI0019301,MIMAT0022487,hsa-miR-5694,5p,chr14,-,67441902,67441922
MI0025510,MIMAT0030411,hsa-miR-7843-5p,5p,chr14,+,72516831,72516852
MI0025510,MIMAT0030412,hsa-miR-7843-3p,3p,chr14,+,72516866,72516887
MI0016868,MIMAT0019041,hsa-miR-4505,5p,chr14,+,73758749,73758766
MI0017342,MIMAT0019811,hsa-miR-4709-5p,5p,chr14,-,74480175,74480196
MI0017342,MIMAT0019812,hsa-miR-4709-3p,3p,chr14,-,74480135,74480157
MI0006394,MIMAT0005911,hsa-miR-1260a,5p,chr14,+,77266231,77266248
MI0016869,MIMAT0019042,hsa-miR-4506,3p,chr14,-,93948233,93948252
MI0014204,MIMAT0015048,hsa-miR-3173-3p,3p,chr14,-,95137923,95137944
MI0014204,MIMAT0019214,hsa-miR-3173-5p,5p,chr14,-,95137961,95137982
MI0003772,MIMAT0010214,hsa-miR-151b,3p,chr14,-,100109438,100109455
MI0000805,MIMAT0004694,hsa-miR-342-5p,5p,chr14,+,100109673,100109693
MI0000805,MIMAT0000753,hsa-miR-342-3p,3p,chr14,+,100109715,100109737
MI0022609,MIMAT0027428,hsa-miR-6764-5p,5p,chr14,+,100277362,100277383
MI0022609,MIMAT0027429,hsa-miR-6764-3p,3p,chr14,+,100277397,100277417
MI0000825,MIMAT0000772,hsa-miR-345-5p,5p,chr14,+,100307876,100307897
MI0000825,MIMAT0022698,hsa-miR-345-3p,3p,chr14,+,100307912,100307933
MI0016870,MIMAT0019043,hsa-miR-2392,3p,chr14,+,100814551,100814570
MI0005118,MIMAT0003948,hsa-miR-770-5p,5p,chr14,+,100852409,100852431
MI0003132,MIMAT0002813,hsa-miR-493-5p,5p,chr14,+,100869075,100869096
MI0003132,MIMAT0003161,hsa-miR-493-3p,3p,chr14,+,100869116,100869137
MI0000806,MIMAT0004695,hsa-miR-337-5p,5p,chr14,+,100874515,100874535
MI0000806,MIMAT0000754,hsa-miR-337-3p,3p,chr14,+,100874553,100874574
MI0005563,MIMAT0004952,hsa-miR-665,3p,chr14,+,100875075,100875094
MI0001721,MIMAT0001625,hsa-miR-431-5p,5p,chr14,+,100881026,100881046
MI0001721,MIMAT0004757,hsa-miR-431-3p,3p,chr14,+,100881069,100881090
MI0001723,MIMAT0001627,hsa-miR-433-3p,3p,chr14,+,100881949,100881970
MI0001723,MIMAT0026554,hsa-miR-433-5p,5p,chr14,+,100881897,100881918
MI0000472,MIMAT0004604,hsa-miR-127-5p,5p,chr14,+,100883001,100883022
MI0000472,MIMAT0000446,hsa-miR-127-3p,3p,chr14,+,100883035,100883056
MI0003133,MIMAT0002814,hsa-miR-432-5p,5p,chr14,+,100884496,100884518
MI0003133,MIMAT0002815,hsa-miR-432-3p,3p,chr14,+,100884544,100884564
MI0000475,MIMAT0000448,hsa-miR-136-5p,5p,chr14,+,100884716,100884738
MI0000475,MIMAT0004606,hsa-miR-136-3p,3p,chr14,+,100884750,100884771
MI0000778,MIMAT0000722,hsa-miR-370-3p,3p,chr14,+,100911186,100911207
MI0000778,MIMAT0026483,hsa-miR-370-5p,5p,chr14,+,100911151,100911172
MI0000787,MIMAT0000733,hsa-miR-379-5p,5p,chr14,+,101022071,101022091
MI0000787,MIMAT0004690,hsa-miR-379-3p,3p,chr14,+,101022109,101022130
MI0003675,MIMAT0003329,hsa-miR-411-5p,5p,chr14,+,101023340,101023360
MI0003675,MIMAT0004813,hsa-miR-411-3p,3p,chr14,+,101023375,101023396
MI0000744,MIMAT0002890,hsa-miR-299-5p,5p,chr14,+,101023800,101023821
MI0000744,MIMAT0000687,hsa-miR-299-3p,3p,chr14,+,101023832,101023853
MI0000788,MIMAT0000734,hsa-miR-380-5p,5p,chr14,+,101025021,101025042
MI0000788,MIMAT0000735,hsa-miR-380-3p,3p,chr14,+,101025056,101025077
MI0006656,MIMAT0005955,hsa-miR-1197,3p,chr14,+,101025620,101025640
MI0000807,MIMAT0004696,hsa-miR-323a-5p,5p,chr14,+,101025747,101025768
MI0000807,MIMAT0000755,hsa-miR-323a-3p,3p,chr14,+,101025782,101025802
MI0003757,MIMAT0003879,hsa-miR-758-3p,3p,chr14,+,101026071,101026092
MI0003757,MIMAT0022929,hsa-miR-758-5p,5p,chr14,+,101026034,101026055
MI0001725,MIMAT0001629,hsa-miR-329-3p,3p,chr14,+,101026834,101026855
MI0001725,MIMAT0026555,hsa-miR-329-5p,5p,chr14,+,101026797,101026819
MI0001726,MIMAT0001629,hsa-miR-329-3p,3p,chr14,+,101027151,101027172
MI0001726,MIMAT0026555,hsa-miR-329-5p,5p,chr14,+,101027114,101027136
MI0003134,MIMAT0002816,hsa-miR-494-3p,3p,chr14,+,101029681,101029702
MI0003134,MIMAT0026607,hsa-miR-494-5p,5p,chr14,+,101029648,101029670
MI0014205,MIMAT0015049,hsa-miR-1193,5p,chr14,+,101030061,101030083
MI0005565,MIMAT0004954,hsa-miR-543,3p,chr14,+,101032033,101032054
MI0003135,MIMAT0002817,hsa-miR-495-3p,3p,chr14,+,101033804,101033825
MI0003135,MIMAT0022924,hsa-miR-495-5p,5p,chr14,+,101033768,101033789
MI0000776,MIMAT0000720,hsa-miR-376c-3p,3p,chr14,+,101039732,101039752
MI0000776,MIMAT0022861,hsa-miR-376c-5p,5p,chr14,+,101039694,101039714
MI0003529,MIMAT0000729,hsa-miR-376a-3p,3p,chr14,+,101040118,101040138
MI0003529,MIMAT0022928,hsa-miR-376a-2-5p,5p,chr14,+,101040080,101040100
MI0003676,MIMAT0003330,hsa-miR-654-5p,5p,chr14,+,101040234,101040255
MI0003676,MIMAT0004814,hsa-miR-654-3p,3p,chr14,+,101040269,101040290
MI0002466,MIMAT0002172,hsa-miR-376b-3p,3p,chr14,+,101040497,101040518
MI0002466,MIMAT0022923,hsa-miR-376b-5p,5p,chr14,+,101040459,101040480
MI0000784,MIMAT0003386,hsa-miR-376a-5p,5p,chr14,+,101040788,101040809
MI0000784,MIMAT0000729,hsa-miR-376a-3p,3p,chr14,+,101040825,101040845
MI0005525,MIMAT0004903,hsa-miR-300,3p,chr14,+,101041414,101041435
MI0003844,MIMAT0005798,hsa-miR-1185-5p,5p,chr14,+,101042991,101043011
MI0003844,MIMAT0022838,hsa-miR-1185-1-3p,3p,chr14,+,101043029,101043050
MI0003821,MIMAT0005798,hsa-miR-1185-5p,5p,chr14,+,101044212,101044232
MI0003821,MIMAT0022713,hsa-miR-1185-2-3p,3p,chr14,+,101044250,101044271
MI0000789,MIMAT0000736,hsa-miR-381-3p,3p,chr14,+,101045968,101045989
MI0000789,MIMAT0022862,hsa-miR-381-5p,5p,chr14,+,101045927,101045948
MI0003530,MIMAT0003180,hsa-miR-487b-3p,3p,chr14,+,101046505,101046526
MI0003530,MIMAT0026614,hsa-miR-487b-5p,5p,chr14,+,101046469,101046490
MI0003514,MIMAT0003163,hsa-miR-539-5p,5p,chr14,+,101047329,101047350
MI0003514,MIMAT0022705,hsa-miR-539-3p,3p,chr14,+,101047369,101047390
MI0005540,MIMAT0004921,hsa-miR-889-3p,3p,chr14,+,101047949,101047969
MI0005540,MIMAT0026719,hsa-miR-889-5p,5p,chr14,+,101047911,101047932
MI0003515,MIMAT0003164,hsa-miR-544a,3p,chr14,+,101048712,101048733
MI0003677,MIMAT0003331,hsa-miR-655-3p,3p,chr14,+,101049610,101049631
MI0003677,MIMAT0026626,hsa-miR-655-5p,5p,chr14,+,101049572,101049593
MI0002471,MIMAT0002178,hsa-miR-487a-3p,3p,chr14,+,101052494,101052515
MI0002471,MIMAT0026559,hsa-miR-487a-5p,5p,chr14,+,101052458,101052479
MI0000790,MIMAT0000737,hsa-miR-382-5p,5p,chr14,+,101054316,101054337
MI0000790,MIMAT0022697,hsa-miR-382-3p,3p,chr14,+,101054352,101054372
MI0000474,MIMAT0000447,hsa-miR-134-5p,5p,chr14,+,101054694,101054715
MI0000474,MIMAT0026481,hsa-miR-134-3p,3p,chr14,+,101054732,101054754
MI0003761,MIMAT0003881,hsa-miR-668-3p,3p,chr14,+,101055300,101055322
MI0003761,MIMAT0026636,hsa-miR-668-5p,5p,chr14,+,101055264,101055282
MI0002469,MIMAT0002175,hsa-miR-485-5p,5p,chr14,+,101055427,101055448
MI0002469,MIMAT0002176,hsa-miR-485-3p,3p,chr14,+,101055464,101055485
MI0014206,MIMAT0001630,hsa-miR-323b-5p,5p,chr14,+,101056233,101056255
MI0014206,MIMAT0015050,hsa-miR-323b-3p,3p,chr14,+,101056269,101056290
MI0000480,MIMAT0000452,hsa-miR-154-5p,5p,chr14,+,101059769,101059790
MI0000480,MIMAT0000453,hsa-miR-154-3p,3p,chr14,+,101059805,101059826
MI0003136,MIMAT0002818,hsa-miR-496,3p,chr14,+,101060628,101060649
MI0000785,MIMAT0004689,hsa-miR-377-5p,5p,chr14,+,101062056,101062077
MI0000785,MIMAT0000730,hsa-miR-377-3p,3p,chr14,+,101062094,101062115
MI0005539,MIMAT0004919,hsa-miR-541-5p,5p,chr14,+,101064504,101064528
MI0005539,MIMAT0004920,hsa-miR-541-3p,3p,chr14,+,101064548,101064569
MI0001735,MIMAT0001638,hsa-miR-409-5p,5p,chr14,+,101065314,101065336
MI0001735,MIMAT0001639,hsa-miR-409-3p,3p,chr14,+,101065346,101065367
MI0002464,MIMAT0002170,hsa-miR-412-3p,3p,chr14,+,101065500,101065522
MI0002464,MIMAT0026557,hsa-miR-412-5p,5p,chr14,+,101065465,101065487
MI0000777,MIMAT0001621,hsa-miR-369-5p,5p,chr14,+,101065606,101065627
MI0000777,MIMAT0000721,hsa-miR-369-3p,3p,chr14,+,101065641,101065661
MI0002465,MIMAT0002171,hsa-miR-410-3p,3p,chr14,+,101065961,101065981
MI0002465,MIMAT0026558,hsa-miR-410-5p,5p,chr14,+,101065925,101065945
MI0003678,MIMAT0003332,hsa-miR-656-3p,3p,chr14,+,101066766,101066786
MI0003678,MIMAT0026627,hsa-miR-656-5p,5p,chr14,+,101066731,101066751
MI0006382,MIMAT0005899,hsa-miR-1247-5p,5p,chr14,-,101560362,101560383
MI0006382,MIMAT0022721,hsa-miR-1247-3p,3p,chr14,-,101560326,101560349
MI0015837,MIMAT0016859,hsa-miR-4309,5p,chr14,+,102539654,102539671
MI0000283,MIMAT0000264,hsa-miR-203a-3p,3p,chr14,+,104117469,104117490
MI0000283,MIMAT0031890,hsa-miR-203a-5p,5p,chr14,+,104117431,104117455
MI0017343,MIMAT0019813,hsa-miR-203b-5p,5p,chr14,-,104117468,104117489
MI0017343,MIMAT0019814,hsa-miR-203b-3p,3p,chr14,-,104117428,104117450
MI0017344,MIMAT0019815,hsa-miR-4710,5p,chr14,-,104677723,104677740
MI0039723,MIMAT0049015,hsa-miR-12121,5p,chr14,+,104865329,104865349
MI0022610,MIMAT0027430,hsa-miR-6765-5p,5p,chr14,-,105150840,105150864
MI0022610,MIMAT0027431,hsa-miR-6765-3p,3p,chr14,-,105150778,105150798
MI0025907,MIMAT0030998,hsa-miR-8071,3p,chr14,+,105621151,105621170
MI0026417,MIMAT0030998,hsa-miR-8071,3p,chr14,+,105640203,105640222
MI0016910,MIMAT0019082,hsa-miR-4539,3p,chr14,-,105857513,105857534
MI0016871,MIMAT0019044,hsa-miR-4507,3p,chr14,-,105858125,105858144
MI0016909,MIMAT0019081,hsa-miR-4538,5p,chr14,-,105858221,105858242
MI0016908,MIMAT0019080,hsa-miR-4537,5p,chr14,-,105859532,105859553
MI0018174,MIMAT0021126,hsa-miR-5195-5p,5p,chr14,-,106850943,106850964
MI0018174,MIMAT0021127,hsa-miR-5195-3p,3p,chr14,-,106850910,106850930
MI0014132,MIMAT0014980,hsa-miR-3118,3p,chr15,+,20832838,20832860
MI0019308,MIMAT0022494,hsa-miR-5701,5p,chr15,+,20940261,20940279
MI0014133,MIMAT0014980,hsa-miR-3118,3p,chr15,+,21406428,21406450
MI0019593,MIMAT0022494,hsa-miR-5701,5p,chr15,+,21513968,21513986
MI0014207,MIMAT0014980,hsa-miR-3118,3p,chr15,+,21843793,21843815
MI0031522,MIMAT0022494,hsa-miR-5701,5p,chr15,+,21951251,21951269
MI0006405,MIMAT0005922,hsa-miR-1268a,5p,chr15,-,22225308,22225325
MI0016873,MIMAT0019046,hsa-miR-4509,5p,chr15,+,23197844,23197865
MI0016872,MIMAT0019045,hsa-miR-4508,5p,chr15,-,23562107,23562123
MI0017349,MIMAT0019824,hsa-miR-4715-5p,5p,chr15,-,25848795,25848816
MI0017349,MIMAT0019825,hsa-miR-4715-3p,3p,chr15,-,25848758,25848780
MI0016874,MIMAT0019046,hsa-miR-4509,5p,chr15,+,28426508,28426529
MI0016875,MIMAT0019046,hsa-miR-4509,5p,chr15,-,28490807,28490828
MI0000287,MIMAT0000268,hsa-miR-211-5p,5p,chr15,-,31065095,31065116
MI0000287,MIMAT0022694,hsa-miR-211-3p,3p,chr15,-,31065059,31065079
MI0006323,MIMAT0005588,hsa-miR-1233-3p,3p,chr15,-,34382069,34382088
MI0006323,MIMAT0022943,hsa-miR-1233-5p,5p,chr15,-,34382126,34382147
MI0015973,MIMAT0005588,hsa-miR-1233-3p,3p,chr15,-,34528290,34528309
MI0015973,MIMAT0022943,hsa-miR-1233-5p,5p,chr15,-,34528347,34528368
MI0016599,MIMAT0018358,hsa-miR-3942-5p,5p,chr15,-,35372321,35372342
MI0016599,MIMAT0019230,hsa-miR-3942-3p,3p,chr15,-,35372280,35372300
MI0016876,MIMAT0019047,hsa-miR-4510,5p,chr15,+,35926863,35926884
MI0025899,MIMAT0030990,hsa-miR-8063,3p,chr15,-,36972831,36972852
MI0003640,MIMAT0003295,hsa-miR-626,3p,chr15,+,41691645,41691663
MI0015840,MIMAT0016862,hsa-miR-4310,3p,chr15,-,41866505,41866520
MI0003641,MIMAT0003296,hsa-miR-627-5p,5p,chr15,-,42199630,42199651
MI0003641,MIMAT0026623,hsa-miR-627-3p,3p,chr15,-,42199593,42199612
MI0006429,MIMAT0005940,hsa-miR-1282,5p,chr15,-,43793732,43793751
MI0033417,MIMAT0041617,hsa-miR-10393-5p,5p,chr15,+,44717844,44717868
MI0033417,MIMAT0041618,hsa-miR-10393-3p,3p,chr15,+,44717872,44717893
MI0005544,MIMAT0004928,hsa-miR-147b-3p,3p,chr15,+,45433098,45433118
MI0005544,MIMAT0037331,hsa-miR-147b-5p,5p,chr15,+,45433061,45433082
MI0017350,MIMAT0019826,hsa-miR-4716-5p,5p,chr15,-,49169121,49169142
MI0017350,MIMAT0019827,hsa-miR-4716-3p,3p,chr15,-,49169079,49169100
MI0017346,MIMAT0019818,hsa-miR-4712-5p,5p,chr15,+,50360337,50360358
MI0017346,MIMAT0019819,hsa-miR-4712-3p,3p,chr15,+,50360385,50360405
MI0017347,MIMAT0019820,hsa-miR-4713-5p,5p,chr15,+,51242200,51242221
MI0017347,MIMAT0019821,hsa-miR-4713-3p,3p,chr15,+,51242233,51242254
MI0025749,MIMAT0031176,hsa-miR-7973,5p,chr15,-,51314088,51314107
MI0025748,MIMAT0031176,hsa-miR-7973,5p,chr15,+,51314034,51314053
MI0006403,MIMAT0005920,hsa-miR-1266-5p,5p,chr15,-,52277166,52277188
MI0006403,MIMAT0026742,hsa-miR-1266-3p,3p,chr15,-,52277131,52277152
MI0003642,MIMAT0004809,hsa-miR-628-5p,5p,chr15,-,55372991,55373012
MI0003642,MIMAT0003297,hsa-miR-628-3p,3p,chr15,-,55372954,55372974
MI0010635,MIMAT0011160,hsa-miR-2116-5p,5p,chr15,-,59171229,59171249
MI0010635,MIMAT0011161,hsa-miR-2116-3p,3p,chr15,-,59171192,59171212
MI0025903,MIMAT0030994,hsa-miR-8067,5p,chr15,-,62304703,62304724
MI0020362,MIMAT0023710,hsa-miR-6085,3p,chr15,+,62343111,62343129
MI0000486,MIMAT0000458,hsa-miR-190a-5p,5p,chr15,+,62823971,62823992
MI0000486,MIMAT0026482,hsa-miR-190a-3p,3p,chr15,+,62824008,62824028
MI0001444,MIMAT0001339,hsa-miR-422a,5p,chr15,-,63870989,63871010
MI0006408,MIMAT0005925,hsa-miR-1272,5p,chr15,-,64762471,64762496
MI0016877,MIMAT0019048,hsa-miR-4511,5p,chr15,-,65719297,65719318
MI0015841,MIMAT0016863,hsa-miR-4311,5p,chr15,+,66040243,66040260
MI0016878,MIMAT0019049,hsa-miR-4512,3p,chr15,-,66496965,66496986
MI0015842,MIMAT0016864,hsa-miR-4312,3p,chr15,-,68801860,68801878
MI0003643,MIMAT0004810,hsa-miR-629-5p,5p,chr15,-,70079427,70079447
MI0003643,MIMAT0003298,hsa-miR-629-3p,3p,chr15,-,70079387,70079408
MI0003644,MIMAT0003299,hsa-miR-630,3p,chr15,+,72587277,72587298
MI0039739,MIMAT0049031,hsa-miR-12135,3p,chr15,+,73299962,73299979
MI0022728,MIMAT0027662,hsa-miR-6881-5p,5p,chr15,-,74411406,74411427
MI0022728,MIMAT0027663,hsa-miR-6881-3p,3p,chr15,-,74411361,74411382
MI0016879,MIMAT0019050,hsa-miR-4513,5p,chr15,-,74788723,74788744
MI0022729,MIMAT0027664,hsa-miR-6882-5p,5p,chr15,-,74840681,74840702
MI0022729,MIMAT0027665,hsa-miR-6882-3p,3p,chr15,-,74840642,74840665
MI0003645,MIMAT0003300,hsa-miR-631,5p,chr15,-,75353650,75353670
MI0015843,MIMAT0016865,hsa-miR-4313,5p,chr15,-,75762286,75762305
MI0000481,MIMAT0000454,hsa-miR-184,3p,chr15,+,79209840,79209861
MI0019117,MIMAT0022260,hsa-miR-5572,3p,chr15,+,80581179,80581199
MI0003679,MIMAT0003333,hsa-miR-549a-3p,3p,chr15,-,80841993,80842013
MI0003679,MIMAT0037328,hsa-miR-549a-5p,5p,chr15,-,80842025,80842046
MI0016880,MIMAT0019051,hsa-miR-4514,5p,chr15,-,80997450,80997467
MI0016881,MIMAT0019052,hsa-miR-4515,5p,chr15,+,83067349,83067370
MI0025242,MIMAT0030021,hsa-miR-7706,3p,chr15,+,85380639,85380662
MI0006416,MIMAT0005930,hsa-miR-1276,5p,chr15,-,85770548,85770567
MI0017875,MIMAT0021037,hsa-miR-548ap-5p,5p,chr15,+,85825655,85825673
MI0017875,MIMAT0021038,hsa-miR-548ap-3p,3p,chr15,+,85825692,85825710
MI0035972,MIMAT0043996,hsa-miR-11181-5p,5p,chr15,-,87946248,87946268
MI0035972,MIMAT0043997,hsa-miR-11181-3p,3p,chr15,-,87946211,87946228
MI0006272,MIMAT0005824,hsa-miR-1179,5p,chr15,+,88608121,88608141
MI0000264,MIMAT0000252,hsa-miR-7-5p,5p,chr15,+,88611856,88611879
MI0000264,MIMAT0004554,hsa-miR-7-2-3p,3p,chr15,+,88611896,88611917
MI0017351,MIMAT0019828,hsa-miR-3529-5p,5p,chr15,-,88611894,88611915
MI0017351,MIMAT0022741,hsa-miR-3529-3p,3p,chr15,-,88611856,88611879
MI0022611,MIMAT0027432,hsa-miR-6766-5p,5p,chr15,-,89326782,89326805
MI0022611,MIMAT0027433,hsa-miR-6766-3p,3p,chr15,-,89326742,89326763
MI0000468,MIMAT0000441,hsa-miR-9-5p,5p,chr15,+,89368032,89368054
MI0000468,MIMAT0000442,hsa-miR-9-3p,3p,chr15,+,89368071,89368092
MI0017983,MIMAT0021086,hsa-miR-5094,5p,chr15,-,89850690,89850711
MI0017877,MIMAT0021041,hsa-miR-5009-5p,5p,chr15,-,89883987,89884010
MI0017877,MIMAT0021042,hsa-miR-5009-3p,3p,chr15,-,89883949,89883970
MI0014208,MIMAT0015051,hsa-miR-3174,5p,chr15,+,90006764,90006786
MI0014209,MIMAT0015052,hsa-miR-3175,5p,chr15,+,92904408,92904429
MI0007074,MIMAT0007347,hsa-miR-1469,5p,chr15,+,96333261,96333282
MI0017348,MIMAT0019822,hsa-miR-4714-5p,5p,chr15,+,98784435,98784456
MI0017348,MIMAT0019823,hsa-miR-4714-3p,3p,chr15,+,98784473,98784494
MI0015979,MIMAT0005890,hsa-miR-1302,3p,chr15,-,101960504,101960524
MI0026421,MIMAT0027618,hsa-miR-6859-5p,5p,chr15,+,101973529,101973551
MI0026421,MIMAT0027619,hsa-miR-6859-3p,3p,chr15,+,101973569,101973591
MI0031521,MIMAT0027618,hsa-miR-6859-5p,5p,chr16,-,17092,17114
MI0031521,MIMAT0027619,hsa-miR-6859-3p,3p,chr16,-,17052,17074
MI0019144,MIMAT0022289,hsa-miR-5587-5p,5p,chr16,+,535316,535333
MI0019144,MIMAT0022290,hsa-miR-5587-3p,3p,chr16,+,535348,535368
MI0014210,MIMAT0015053,hsa-miR-3176,3p,chr16,+,543336,543354
MI0003670,MIMAT0003325,hsa-miR-662,3p,chr16,+,770243,770263
MI0014211,MIMAT0015054,hsa-miR-3177-3p,3p,chr16,+,1735038,1735058
MI0014211,MIMAT0019215,hsa-miR-3177-5p,5p,chr16,+,1734995,1735017
MI0006311,MIMAT0005572,hsa-miR-1225-5p,5p,chr16,-,2090263,2090284
MI0006311,MIMAT0005573,hsa-miR-1225-3p,3p,chr16,-,2090195,2090216
MI0022552,MIMAT0025847,hsa-miR-6511b-5p,5p,chr16,-,2106720,2106743
MI0022552,MIMAT0025848,hsa-miR-6511b-3p,3p,chr16,-,2106679,2106701
MI0016882,MIMAT0019053,hsa-miR-4516,5p,chr16,+,2133120,2133136
MI0016409,MIMAT0018178,hsa-miR-3180,5p,chr16,-,2136076,2136094
MI0016078,MIMAT0018101,hsa-miR-3677-3p,3p,chr16,+,2270751,2270772
MI0016078,MIMAT0019221,hsa-miR-3677-5p,5p,chr16,+,2270715,2270736
MI0005762,MIMAT0004983,hsa-miR-940,3p,chr16,+,2271806,2271826
MI0017352,MIMAT0019829,hsa-miR-4717-5p,5p,chr16,+,2274629,2274650
MI0017352,MIMAT0019830,hsa-miR-4717-3p,3p,chr16,+,2274661,2274681
MI0022612,MIMAT0027434,hsa-miR-6767-5p,5p,chr16,+,2445397,2445419
MI0022612,MIMAT0027435,hsa-miR-6767-3p,3p,chr16,+,2445436,2445457
MI0022613,MIMAT0027436,hsa-miR-6768-5p,5p,chr16,+,2463972,2463994
MI0022613,MIMAT0027437,hsa-miR-6768-3p,3p,chr16,+,2464011,2464034
MI0014212,MIMAT0015055,hsa-miR-3178,5p,chr16,-,2531979,2531995
MI0021260,MIMAT0024599,hsa-miR-6126,5p,chr16,-,3485422,3485439
MI0022614,MIMAT0027438,hsa-miR-6769a-5p,5p,chr16,+,4671323,4671343
MI0022614,MIMAT0027439,hsa-miR-6769a-3p,3p,chr16,+,4671370,4671390
MI0025901,MIMAT0030992,hsa-miR-8065,3p,chr16,+,5632533,5632556
MI0006412,MIMAT0005928,hsa-miR-548h-5p,5p,chr16,-,11306491,11306512
MI0017353,MIMAT0019831,hsa-miR-4718,5p,chr16,+,12720321,12720341
MI0003137,MIMAT0004767,hsa-miR-193b-5p,5p,chr16,+,14303980,14304001
MI0003137,MIMAT0002819,hsa-miR-193b-3p,3p,chr16,+,14304017,14304038
MI0000767,MIMAT0000710,hsa-miR-365a-3p,3p,chr16,+,14309340,14309361
MI0000767,MIMAT0009199,hsa-miR-365a-5p,5p,chr16,+,14309300,14309322
MI0014213,MIMAT0015056,hsa-miR-3179,3p,chr16,+,14901559,14901580
MI0016071,MIMAT0018093,hsa-miR-3670,3p,chr16,+,14907756,14907779
MI0014214,MIMAT0015057,hsa-miR-3180-5p,5p,chr16,+,14911237,14911261
MI0014214,MIMAT0015058,hsa-miR-3180-3p,3p,chr16,+,14911281,14911302
MI0022223,MIMAT0025478,hsa-miR-6511a-5p,5p,chr16,+,14925941,14925963
MI0022223,MIMAT0025479,hsa-miR-6511a-3p,3p,chr16,+,14925980,14926001
MI0022615,MIMAT0027440,hsa-miR-6770-5p,5p,chr16,+,14930825,14930848
MI0022615,MIMAT0027441,hsa-miR-6770-3p,3p,chr16,+,14930859,14930879
MI0009982,MIMAT0009447,hsa-miR-1972,3p,chr16,-,15010329,15010350
MI0023431,MIMAT0025847,hsa-miR-6511b-5p,5p,chr16,-,15134117,15134140
MI0023431,MIMAT0025848,hsa-miR-6511b-3p,3p,chr16,-,15134076,15134098
MI0016408,MIMAT0018178,hsa-miR-3180,5p,chr16,-,15154949,15154967
MI0022218,MIMAT0025468,hsa-miR-6506-5p,5p,chr16,-,15611072,15611094
MI0022218,MIMAT0025469,hsa-miR-6506-3p,3p,chr16,-,15611031,15611052
MI0002468,MIMAT0002174,hsa-miR-484,5p,chr16,+,15643301,15643322
MI0014216,MIMAT0015056,hsa-miR-3179,3p,chr16,+,16300210,16300231
MI0019112,MIMAT0018093,hsa-miR-3670,3p,chr16,+,16306409,16306432
MI0014215,MIMAT0015057,hsa-miR-3180-5p,5p,chr16,+,16309892,16309916
MI0014215,MIMAT0015058,hsa-miR-3180-3p,3p,chr16,+,16309936,16309957
MI0023564,MIMAT0025478,hsa-miR-6511a-5p,5p,chr16,+,16324592,16324614
MI0023564,MIMAT0025479,hsa-miR-6511a-3p,3p,chr16,+,16324631,16324652
MI0026418,MIMAT0027440,hsa-miR-6770-5p,5p,chr16,+,16329310,16329333
MI0026418,MIMAT0027441,hsa-miR-6770-3p,3p,chr16,+,16329344,16329364
MI0023565,MIMAT0025478,hsa-miR-6511a-5p,5p,chr16,+,16368880,16368902
MI0023565,MIMAT0025479,hsa-miR-6511a-3p,3p,chr16,+,16368919,16368940
MI0023566,MIMAT0025478,hsa-miR-6511a-5p,5p,chr16,-,18344053,18344075
MI0023566,MIMAT0025479,hsa-miR-6511a-3p,3p,chr16,-,18344015,18344036
MI0026419,MIMAT0027440,hsa-miR-6770-5p,5p,chr16,-,18379382,18379405
MI0026419,MIMAT0027441,hsa-miR-6770-3p,3p,chr16,-,18379351,18379371
MI0014217,MIMAT0015057,hsa-miR-3180-5p,5p,chr16,-,18402230,18402254
MI0014217,MIMAT0015058,hsa-miR-3180-3p,3p,chr16,-,18402189,18402210
MI0031513,MIMAT0018093,hsa-miR-3670,3p,chr16,-,18405700,18405723
MI0014221,MIMAT0015056,hsa-miR-3179,3p,chr16,-,18411905,18411926
MI0031514,MIMAT0018093,hsa-miR-3670,3p,chr16,-,18488303,18488326
MI0031510,MIMAT0015056,hsa-miR-3179,3p,chr16,-,18494504,18494525
MI0016081,MIMAT0018106,hsa-miR-3680-5p,5p,chr16,-,21506101,21506122
MI0016081,MIMAT0018107,hsa-miR-3680-3p,3p,chr16,-,21506064,21506086
MI0025512,MIMAT0030415,hsa-miR-1273h-5p,5p,chr16,+,24203148,24203168
MI0025512,MIMAT0030416,hsa-miR-1273h-3p,3p,chr16,+,24203186,24203207
MI0014222,MIMAT0015060,hsa-miR-548w,5p,chr16,+,26025246,26025268
MI0022709,MIMAT0027625,hsa-miR-6862-5p,5p,chr16,-,28391025,28391046
MI0022709,MIMAT0027626,hsa-miR-6862-3p,3p,chr16,-,28390984,28391007
MI0026415,MIMAT0027625,hsa-miR-6862-5p,5p,chr16,+,28724257,28724278
